name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YDR334W	0.404412	0.0282638	2998.68	23	9.4158	0
YER081W	0.0229811	0.0163081	257594	2	0.00334975	0
YGR002C	0.355731	0.0218225	6034.14	41	33.551	1
YHR158C	0.2	0.0142532	14264.9	3	0.00317917	0
YIR018W	0.333333	0.043712	5340.32	0.001	6.49904e-12	0
YNL107W	0.409524	0.0297072	5275.04	37	85.223	0
YOL012C	0.314286	0.0257678	8123.47	12	1.94501	0
YOR127W	0.230769	0.0148844	6402.86	0.001	7.25231e-14	0
YOR269W	0.164835	0.0255012	3000.48	0.001	2.09162e-13	0
YAL012W	0.333333	0.00946171	6775.21	0.001	1.81e-14	1
YBR055C	0.0391465	0.0152421	119361	88	171.864	1
YJR091C	0.00836299	0.00761702	1.03725e+06	0.001	2.92001e-14	0
YMR101C	1	0.333333	0	0.001	0	0
YMR300C	0.5	0.0685185	381.262	0.001	4.20171e-12	0
YPL149W	0.0997151	0.0277977	7902.82	2	0.00376414	0
YAL013W	0.666667	0.0792683	119.727	3	0.0850872	0
YGL061C	0.131579	0.0443356	10804.9	24	75.9367	1
YNL330C	0.168831	0.0277198	12875.2	51	170.246	0
YAL014C	0.666667	0.0452502	601.142	0.001	1.68023e-12	0
YER133W	0.0540645	0.0117851	193047	41	13.8759	1
YIL034C	0.117647	0.0363117	24540.8	8	2.56996	0
YAL015C	0.213333	0.0272589	2501.89	0.001	2.94686e-13	0
YBR020W	0.0548515	0.00885615	79226.3	0.001	2.67324e-14	0
YBR127C	0.0378823	0.00799957	105955	25	0.256831	0
YCL064C	0.133333	0.0204973	3664.64	0.001	8.62491e-14	0
YDL029W	0.106367	0.0119772	55416	46	11.8068	1
YDL059C	0.0689201	0.0174637	35574.5	0.001	2.28049e-13	0
YDR214W	0.154412	0.0266626	6303.18	0.001	4.91871e-13	0
YEL030W	0.152047	0.0206601	2232.7	0.001	6.18494e-14	0
YEL060C	0.152381	0.020062	6208.88	0.001	1.53265e-13	0
YFL037W	0.052381	0.00887832	62691.5	13	0.0448266	1
YFL039C	0.0436195	0.00825839	174027	75	14.8958	1
YGR282C	0.111111	0.0172501	6840.99	0.001	6.73047e-14	0
YJL088W	0.0479252	0.0140424	34290	0.001	6.38993e-14	0
YJR045C	0.035665	0.00733558	234057	14	0.0663264	1
YJR068W	0.147727	0.0208258	12369.9	28	7.54577	1
YJR077C	0.0688775	0.0115569	25099.8	0.001	3.08399e-14	0
YML085C	0.0632911	0.00917166	53173.8	15	0.0803724	1
YMR012W	0.0666667	0.0124729	20065.7	0.001	3.23765e-14	0
YMR058W	0.201201	0.0205969	39254.8	0.001	1.42144e-12	0
YMR146C	0.474359	0.0187325	2897.91	32	5.54657	1
YMR214W	0.135632	0.0205909	4926.2	0.001	1.20108e-13	0
YNL037C	0.157143	0.0206737	2469.77	1	7.08966e-05	0
YPR110C	0.0415027	0.0117742	165402	74	53.4607	1
YAL016W	0.205534	0.0182273	7184.62	9	0.118825	0
YAL024C	0.466667	0.0183479	781.014	1	4.13062e-05	0
YDL134C	0.192118	0.0180561	18133.9	11	0.492877	0
YDL188C	0.120567	0.0232577	23368	4	0.0527592	0
YDR482C	0.333333	0.011278	1827.64	0.001	9.85577e-15	0
YFR024C-A	0.0422347	0.0133287	116986	0.001	1.55938e-13	0
YFR040W	0.110345	0.0151775	16889.8	1	9.88971e-05	0
YGL190C	0.0714609	0.0106283	69042	5	0.0078695	0
YGR161C	0.444444	0.0378788	323.655	0.001	2.96131e-13	0
YGR281W	0.333333	0.0208843	4436.4	0.001	2.81313e-13	0
YHR082C	0.0816697	0.0142891	46558.4	0.001	1.58518e-13	1
YHR135C	0.0434174	0.0160199	78476.6	4	0.0143623	0
YJL020C	0.0510965	0.0110452	157308	0.001	1.19628e-13	0
YLR191W	0.0414475	0.00968984	171314	2	0.000500782	0
YMR109W	0.099643	0.00964544	96125	21	0.767768	0
YMR273C	0.323529	0.0175705	5111.55	2	0.00126094	0
YNL127W	0.15	0.046227	9650.85	2	0.0528846	0
YNR032W	0.333333	0.0613752	490.168	0.001	2.31843e-12	0
YOL113W	0.180952	0.0228735	4851.69	0.001	2.40318e-13	0
YOR014W	0.113798	0.00996384	28531.7	5	0.00400017	0
YPL152W	0.428571	0.013387	2808.1	3	0.00104361	0
YAL017W	0.282051	0.0295743	2034.85	0.001	4.39057e-13	0
YCL027W	0.0381914	0.0125438	145870	0.001	1.37928e-13	0
YDR099W	0.0535994	0.0108796	82638.7	0.001	6.20581e-14	0
YDR190C	0.122984	0.0191219	7193.17	10	0.118274	1
YER054C	0.24183	0.0241069	3887.38	3	0.00857221	0
YFR053C	0.0357456	0.00818219	115264	0.001	1.8467e-14	0
YGL112C	0.196825	0.0258509	17506.6	162	6542.29	1
YKL035W	0.0817204	0.0144505	6355.91	0.001	2.26484e-14	1
YLR258W	0.300654	0.0237196	5084.44	0.001	4.83884e-13	0
YMR205C	0.150043	0.0101622	39929.7	1	6.38949e-05	0
YOL045W	0.285714	0.032679	363.83	0.001	1.18552e-13	0
YPR160W	0.146199	0.0198616	3272.63	0.001	7.44554e-14	0
YAL018C	0.257576	0.0209445	8799.23	0.001	4.36143e-13	0
YBR290W	0.280781	0.0432494	11657.2	0.001	1.1452e-11	0
YDL017W	0.0617284	0.0162317	115215	4	0.0315955	1
YDR331W	0.18761	0.0213846	39241.1	2	0.0123166	1
YHR114W	0.0196456	0.0102101	478969	0.001	1.02256e-13	0
YLL028W	0.190244	0.0199142	33275	0.001	9.9559e-13	0
YLR034C	0.333333	0.0664499	2047.53	0.001	1.33072e-11	0
YLR264W	0.422222	0.0319149	2344.63	6	0.221841	0
YMR001C	0.0858757	0.0126269	81796.9	0.001	1.78565e-13	1
YAL019W	0.285714	0.01492	1897.27	0.001	2.68618e-14	0
YBL088C	0.321429	0.0206439	2000.83	0.001	1.16805e-13	0
YBR084W	0.121212	0.0281382	6700.59	0.001	5.09152e-13	0
YBR160W	0.0170875	0.00792085	629471	38	2.32323	1
YDL117W	0.0686869	0.0161969	64930.2	0.001	3.06933e-13	0
YJL124C	0.103382	0.0191511	43763.5	17	2.99002	0
YAL021C	0.120732	0.0234371	15643.6	53	84.8406	0
YBR072W	0.0374166	0.00781002	107250	0.001	1.49304e-14	0
YCR093W	0.236923	0.0259541	12601.1	69	445.031	1
YDL165W	0.272059	0.0241024	9146.11	38	46.0776	1
YDR188W	0.122807	0.0304227	1399.36	0.001	1.47213e-13	1
YDR443C	0.371429	0.0427742	1446.56	15	6.07037	0
YER068W	0.711111	0.0727149	176.463	46	341.475	0
YFL028C	1	0.107308	0	6	0	0
YGL048C	0.167634	0.0135055	27976.8	69	51.2562	1
