name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
YNL110C	0.7273	0.0507	18055.1720	0.0010	0.0000	1
YOR272W	0.6327	0.0803	16531.1151	6.0000	94.0878	1
YAL026C	0.5000	0.2842	4676.0105	0.0010	0.0000	0
YDL192W	0.3750	0.0388	20843.6803	26.0000	312.2472	0
YOR153W	1.0000	0.5000	0.0000	0.0010	0.0000	0
YPL146C	0.6667	0.3808	1762.0951	0.0010	0.0000	1
YAL028W	0.5000	0.0367	3051.6746	0.0010	0.0000	0
YBL050W	0.0886	0.0349	79747.1344	11.0000	13.9106	1
YDL239C	0.0762	0.0239	81590.4602	0.0010	0.0000	0
YLR233C	0.2000	0.1416	10958.8668	6.0000	190.1172	0
YBR130C	0.3214	0.0165	20601.2831	0.0010	0.0000	0
YFL039C	0.1109	0.0549	73301.9958	44.0000	6313.3099	1
YGL106W	0.5000	0.0342	4585.0371	0.0010	0.0000	1
YHR023W	0.3333	0.0407	9951.8303	9.0000	6.6334	1
YKL130C	0.0996	0.0303	43275.0404	0.0010	0.0000	0
YOR326W	0.1621	0.0195	34986.2900	12.0000	1.4236	1
YAL030W	0.6667	0.1581	98.3252	3.0000	1.1058	0
YDR468C	0.3333	0.0487	9746.3189	11.0000	24.4018	1
YGR009C	0.1923	0.0121	32424.7182	3.0000	0.0036	1
YAL031C	1.0000	0.0862	0.0000	0.0010	0.0000	0
YAL032C	0.2179	0.0277	12452.0351	10.0000	1.5995	1
YBR017C	0.3611	0.0176	2221.8385	0.0010	0.0000	0
YDR416W	0.1985	0.0292	15307.1643	24.0000	30.5636	1
YER013W	0.5455	0.1112	1955.3286	44.0000	13890.0609	1
YJL203W	0.4296	0.0347	61961.0202	212.0000	365690.5826	1
YKL095W	0.6667	0.1269	609.1393	0.0010	0.0000	1
YKL173W	0.5143	0.0759	13724.6807	19.0000	1606.8335	1
YLR338W	0.6667	0.1618	170.5388	0.0010	0.0000	0
YLR345W	0.2857	0.0383	17799.6758	0.0010	0.0000	0
YLR423C	0.0435	0.0185	248167.7183	0.0010	0.0000	0
YNL189W	0.0200	0.0128	658441.2328	8.0000	0.1796	1
YOR036W	0.1833	0.0174	25917.3751	4.0000	0.0281	1
YPL151C	0.4105	0.0721	9231.1482	27.0000	2017.6923	1
YAL033W	0.8222	0.2749	1074.9638	53.0000	750961.4557	1
YBL018C	0.8222	0.1410	2949.1666	53.0000	142517.5118	1
YBR167C	0.8222	0.0733	6973.2613	53.0000	24587.9405	1
YBR257W	1.0000	0.3235	0.0000	53.0000	0.0000	1
YGR030C	1.0000	0.3235	0.0000	53.0000	0.0000	1
YHR062C	0.8222	0.2286	750.5898	53.0000	250788.2734	1
YIR015W	1.0000	0.3235	0.0000	32.0000	0.0000	1
YJR115W	0.6667	0.0760	2056.4514	0.0010	0.0000	0
YNL221C	0.6909	0.2333	5485.0071	53.0000	1672371.8519	1
YNL282W	0.6909	0.0320	25348.7182	53.0000	2726.0982	1
YAL034C	0.4643	0.0894	2616.2750	2.0000	0.6212	0
YBR198C	0.3498	0.0506	28487.6487	142.0000	186858.1221	1
YDL140C	0.2250	0.0246	70111.1759	123.0000	10718.8381	1
YDR044W	0.4667	0.0179	7358.0009	0.0010	0.0000	1
YLR055C	0.6000	0.2011	57.0715	15.0000	188.8564	0
YML114C	0.4727	0.1223	2473.9314	28.0000	5751.0562	1
YOL004W	0.1961	0.0535	29463.9297	31.0000	1415.2258	0
YAL034WA	0.4000	0.0089	2279.1061	0.0010	0.0000	0
